question,option_a,option_b,option_c,option_d,answer,topic
The reflex angle between the hands of a clock at 10:25 is:,180º,192.5º,195º,197.5º,D,Trigonometry
An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:,2%,2.02%,4%,4.04%,D,Area Calculations
The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:,30 m²,40 m²,60 m²,80 m²,C,Geometry
A flagstaff 17.5 m high casts a shadow 40.25 m long. What is the height of a building that casts a shadow 28.75 m long under similar conditions?,10 m,12.5 m,17.5 m,21.25 m,B,Trigonometry
The reflex angle between the hands of a clock at 10:25 is:,180º,192.5º,195º,197.5º,D,Trigonometry
A train of 240 meters long passes a pole in 24 seconds. How long will it take to pass a platform 650 meters long?,65 sec,89 sec,100 sec,150 sec,B,Time-Based Reasoning
How many seconds will a 500-meter-long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?,25 sec,30 sec,40 sec,45 sec,B,Relative Motion
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?,40 minutes,1 hour,1 hr 15 min,1 hr 30 min,C,Time-Based Reasoning
An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:,2%,2.02%,4%,4.04%,D,Area Calculations
The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:,30 m²,40 m²,60 m²,80 m²,C,Geometry
In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?,32,48,36,60,C,Data Structures
Two dice are tossed. The probability that the total score is a prime number is:,1,5/12,1/2,7/9,B,Probability
An observer 1.6 m tall is 203 m away from a tower. The angle of elevation from his eye to the top of the tower is 30º. The height of the tower is:,21.6 m,23.2 m,24.72 m,None of these,A,Trigonometry
A man took a loan from a bank at the rate of 8% p.a. simple interest. After 4 years he had to pay Rs. 6200 as interest only for the period. The principal amount borrowed by him was:,Rs. 17322,Rs. 20245,Rs. 18230,Rs. 19375,C,Simple Interest
The sum of ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child?,4 years,8 years,10 years,None of these,A,Age-Related Reasoning
"A father said to his son, ""I was as old as you are at the present at the time of your birth"". If the father's age is 38 years now, the son's age five years back was:",14 years,19 years,33 years,38 years,A,Algebra
A man can swim downstream at 6 km/hr and upstream at 2 km/hr. His speed in still water is:,4 km/hr,2 km/hr,6 km/hr,1 km/hr,A,Speed in still water
A man rows to a place 48 km distant and comes back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:,1 km/hr,1.5 km/hr,2 km/hr,2.5 km/hr,A,Time Complexity
In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 per kg?,3:7,5:7,7:3,7:5,C,Ratio
Two trains are running at 40 km/hr and 20 km/hr respectively in the same direction. The fast train completely passes a man sitting in the slower train in 5 seconds. What is the length of the fast train?,23 m,27 m,29 m,50 m,B,Relative Motion
A train moves past a telegraph post and a bridge 264 m long in 8 seconds and 20 seconds respectively. What is the speed of the train?,69.5 km/hr,70 km/hr,79 km/hr,79.2 km/hr,D,Speed and Distance
How many seconds will a 500-meter long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?,25,30,40,45,B,Relative Motion
The sum of ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child?,4 years,8 years,10 years,None of these,A,Age-Related Reasoning
An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:,2%,2.02%,4%,4.04%,D,Area Calculations
The reflex angle between the hands of a clock at 10:25 is:,180º,192.5º,195º,197.5º,D,Trigonometry
Two goods trains each 500 m long are running in opposite directions on parallel tracks at 45 km/hr and 30 km/hr respectively. The time taken by the slower train to pass the driver of the faster one is:,12 sec,24 sec,48 sec,60 sec,B,Relative Motion
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?,40 minutes,1 hour,1 hr 15 min,1 hr 30 min,C,Time-Based Reasoning
What is the volume of a 32-meter high cylindrical tank?,4928 m³,4820 m³,5040 m³,4600 m³,A,Volume Problems
The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:,30 m²,40 m²,60 m²,80 m²,C,Geometry
The banker's discount of a certain sum of money is Rs. 72 and the true discount on the same sum for the same time is Rs. 60. The sum due is:,Rs. 360,Rs. 432,Rs. 540,Rs. 1080,A,Simple Interest
